,logPOP,dPOP,dHHS,d1,d2,d3,d4,d5,d6+,0-29,30-59,60-89,Indian,Pakistani,Bangladeshi
logPOP,1.0,0.015063698501427546,0.23777897955029145,-0.2703630983082891,0.02785129688476177,0.14689350838898244,0.21511409233848122,0.15293539609501525,0.1294889480800267,0.12005209254514528,0.01112560978469122,-0.09793484123804727,0.06548637081134216,0.09086151918977593,0.021910781185700282
dPOP,0.015063698501427546,1.0,0.41845237623136866,0.32762245002361556,-0.8167893683734129,0.1914741285370146,0.009466355093774088,0.4253968626336478,0.5254146598093445,0.7122090356271782,0.5768364246110872,-0.8519127373931635,0.4127415041052625,0.3375570987398556,0.3297769775641827
dHHS,0.23777897955029145,0.41845237623136866,1.0,-0.41688769247199264,-0.6043628289578258,0.4047294481940493,0.5802910278935628,0.837855279424899,0.774723125293744,0.5587661085957051,0.40598705657513173,-0.6476374002281097,0.6230852357305952,0.466830640484019,0.4707565738020086
d1,-0.2703630983082891,0.32762245002361556,-0.41688769247199264,1.0,-0.18373230661917267,-0.7015949801729173,-0.8599357345390093,-0.45470880675658415,-0.15064487172228003,0.1977788926100436,-0.009567825543130003,-0.15691198809827586,-0.19922284989613454,-0.11536884656000349,0.1125598285761323
d2,0.02785129688476177,-0.8167893683734129,-0.6043628289578258,-0.18373230661917267,1.0,-0.2664462417642681,-0.19889426138815902,-0.7342974933014982,-0.7911441313574769,-0.7378510929047691,-0.5139162139303619,0.8406221920508884,-0.6400150316303336,-0.5437435973581074,-0.34987283072453634
d3,0.14689350838898244,0.1914741285370146,0.4047294481940493,-0.7015949801729173,-0.2664462417642681,1.0,0.7609242502864139,0.49827045017049526,0.22590086517770827,0.15508524435714965,0.3197275717477118,-0.2691660294758137,0.2484511775072029,0.15887361927314433,-0.11122064320329013
d4,0.21511409233848122,0.009466355093774088,0.5802910278935628,-0.8599357345390093,-0.19889426138815902,0.7609242502864139,1.0,0.6576779396222242,0.2934390847739374,0.0312361979999873,0.26998535434406695,-0.157995959483465,0.4073893098853275,0.19023313107932738,-0.09675540933600604
d5,0.15293539609501525,0.4253968626336478,0.837855279424899,-0.45470880675658415,-0.7342974933014982,0.49827045017049526,0.6576779396222242,1.0,0.8696322597265885,0.5008419663581658,0.36907416841181134,-0.5814496437089003,0.7380051136694061,0.5875646864057907,0.2861146703477812
d6+,0.1294889480800267,0.5254146598093445,0.774723125293744,-0.15064487172228003,-0.7911441313574769,0.22590086517770827,0.2934390847739374,0.8696322597265885,1.0,0.6307934212403147,0.31358514938795534,-0.6559211399619339,0.7184328463955467,0.7372791195030726,0.5194211356695111
0-29,0.12005209254514528,0.7122090356271782,0.5587661085957051,0.1977788926100436,-0.7378510929047691,0.15508524435714965,0.0312361979999873,0.5008419663581658,0.6307934212403147,1.0,0.16049697372271451,-0.8699300983560897,0.41860916497714096,0.4752646685498799,0.3529870569078495
30-59,0.01112560978469122,0.5768364246110872,0.40598705657513173,-0.009567825543130003,-0.5139162139303619,0.3197275717477118,0.26998535434406695,0.36907416841181134,0.31358514938795534,0.16049697372271451,1.0,-0.6256437222071198,0.24560212401226064,0.12850792249433984,0.2472903318028052
60-89,-0.09793484123804727,-0.8519127373931635,-0.6476374002281097,-0.15691198809827586,0.8406221920508884,-0.2691660294758137,-0.157995959483465,-0.5814496437089003,-0.6559211399619339,-0.8699300983560897,-0.6256437222071198,1.0,-0.45584434685917685,-0.43898156860920456,-0.4030312507836545
Indian,0.06548637081134216,0.4127415041052625,0.6230852357305952,-0.19922284989613454,-0.6400150316303336,0.2484511775072029,0.4073893098853275,0.7380051136694061,0.7184328463955467,0.41860916497714096,0.24560212401226064,-0.45584434685917685,1.0,0.44472895971844995,0.15937448429808926
Pakistani,0.09086151918977593,0.3375570987398556,0.466830640484019,-0.11536884656000349,-0.5437435973581074,0.15887361927314433,0.19023313107932738,0.5875646864057907,0.7372791195030726,0.4752646685498799,0.12850792249433984,-0.43898156860920456,0.44472895971844995,1.0,0.2303064052436066
Bangladeshi,0.021910781185700282,0.3297769775641827,0.4707565738020086,0.1125598285761323,-0.34987283072453634,-0.11122064320329013,-0.09675540933600604,0.2861146703477812,0.5194211356695111,0.3529870569078495,0.2472903318028052,-0.4030312507836545,0.15937448429808926,0.2303064052436066,1.0
