index,PCA0,PCA2,PCA5,PCA8
-1.0,-0.3708787584215931,0.01276799448145615,-0.23628061850286008,-0.08734360178162524
-0.95,-0.3533213835352741,0.014170337278711129,-0.22534150296539518,-0.08230425044542589
-0.9,-0.3356521872750115,0.015583935619076403,-0.21431297926591936,-0.07734016443663363
-0.85,-0.3178788038352627,0.01697805697614647,-0.20319778788449425,-0.07245105013238476
-0.8,-0.30000700779901474,0.018319032594878357,-0.19199783736973422,-0.06763641816123966
-0.75,-0.2820416439435195,0.019571627731622437,-0.1807139107159426,-0.06289558340318295
-0.7,-0.2639858442459902,0.020697671414091626,-0.16934639942027102,-0.058228252235350865
-0.65,-0.2458411746950335,0.021658405424271335,-0.15789481411127992,-0.053633250166288414
-0.6,-0.2276079289135132,0.022412526812661173,-0.14635798029751435,-0.049109989950268114
-0.55,-0.20928400260423904,0.022917753886881595,-0.13473394049321594,-0.04465759071869873
-0.5,-0.1908665084757176,0.02313072833738598,-0.12301975846974725,-0.040274682231549425
-0.45,-0.1723504549392651,0.023007504608900217,-0.1112124001241829,-0.035960285745941054
-0.4,-0.15372987166331872,0.022504724391877687,-0.09930804835929416,-0.03171371614185821
-0.35,-0.1349974180762848,0.02157854000533219,-0.08730161371210944,-0.027532820184966743
-0.3,-0.1161448727379784,0.02018696337974793,-0.07518908333682418,-0.023417010629539166
-0.25,-0.09716313333962338,0.018289083062776178,-0.06296507414760304,-0.019364623612680907
-0.2,-0.0780429996981557,0.015847021704993584,-0.050624692430050224,-0.01537428889436115
-0.15,-0.058775173756223334,0.012825642437038449,-0.03816235934975455,-0.011444146863109498
-0.1,-0.039350553205050154,0.009193919109641518,-0.02557376843804773,-0.0075728272788951325
-0.05,-0.01976101447873916,0.004925621413641405,-0.01285422172910981,-0.0037586662788234885
0.0,0.0,0.0,0.0,0.0
0.05,0.01993699244841144,-0.0055975284001821245,0.012991637229343338,0.003704933294757814
0.1,0.04005260547226889,-0.011874108609922808,0.026122843193254346,0.007357797468344519
0.15,0.06034615395155692,-0.018829936377797882,0.039394205137460524,0.010960745755094259
0.2,0.08081342929189518,-0.026456203017894944,0.05280494006765854,0.014515344143613683
0.25,0.10144630792738668,-0.03473675927270791,0.0663526011266505,0.018023550119661103
0.3,0.12223265344632984,-0.043645766330227063,0.08003258822290439,0.021487125420419004
0.35,0.14315533784833948,-0.05314965330969734,0.09383893102485732,0.024908223280221523
0.4,0.16419253516721038,-0.06320613851873921,0.10776340809232443,0.02828811606481157
0.45,0.18531713422518994,-0.07376628481339484,0.12179515537934704,0.031629544254250776
0.5,0.2064982067472968,-0.08477283573523361,0.13592125347992032,0.0349334865914183
0.55,0.22769836475554722,-0.09616354323714117,0.15012682550228107,0.03820268355637579
0.6,0.24887718616903204,-0.10787126555760744,0.16439405832602866,0.04143830964057821
0.65,0.26998984456388586,-0.11982572895790897,0.17870347496786787,0.0446424202040718
0.7,0.29098808791616637,-0.1319543107164124,0.19303344521016938,0.04781687485832697
0.75,0.31182160884188487,-0.14418419236290847,0.2073602834752576,0.050963533214814095
0.8,0.33243706585412736,-0.15644353417006715,0.2216585424482744,0.05408366763927609
0.85,0.35278209620885903,-0.16866304114204417,0.235901404574331,0.057179235617471263
0.9,0.37280296692201415,-0.18077694175736025,0.25006117142994727,0.06025190101229418
0.95,0.3924479024952854,-0.19272455395750768,0.2641084807287485,0.06330303406377567
1.0,0.4116663997961083,-0.20445038302123833,0.27801426380722366,0.06633420076052236
